TIcker	Company	CEO	Compensation	Compensation (M)	Median Worker Pay	Ratio
LDOS	Leidos Holdings, Inc.	Roger Krone	9834974	9.8349740	95000	104
PHM	PulteGroup, Inc.	Ryan Marshall	9793261	9.7932610	95551	102
EIX	Edison International	Pedro Pizarro	9777523	9.7775230	166888	59
ED	Consolidated Edison, Inc.	John McAvoy	9765858	9.7658580	106453	92
AES	The AES Corporation	Andres Gluski	9759811	9.7598110	67771	144
XEC	Cimarex Energy Co.	Thomas Jorden	9727480	9.7274800	118035	82
COTY	Coty, Inc.	Camillo Pane	9722081	9.7220810		
ZBH	Zimmer Biomet Holdings, Inc.	Bryan Hanson	9710434	9.7104340	65395	148
CERN	Cerner Corporation	Brent Shafer	9633001	9.6330010	64784	149
TSN	Tyson Foods, Inc.	Thomas Hayes	9486887	9.4868870	37069	256
BEN	Franklin Resources, Inc.	Gregory Johnson	9450152	9.4501520	60194	157
CFG	Citizens Financial Group, Inc.	Bruce Saun	9405933	9.4059330	59748	157
DLTR	Dollar Tree, Inc.	Gary Philbin	9398842	9.3988420	11250	835
BK	The Bank of New York Mellon Corporation	Charles Scharf	9383885	9.3838850	61380	153
CLX	The Clorox Company	Benno Dorer	9362715	9.3627150	68441	137
SWKS	Skyworks Solutions, Inc.	Liam Griffin	9342113	9.3421130	20881	447
TSCO	Tractor Supply Company	Gregory Sandfort	9329017	9.3290170	26731	349
SRE	Sempra Energy	Jeffrey Martin	9324491	9.3244910	126325	74
INCY	Incyte Corporation	Herve Hoppenot	9314189	9.3141890	228006	41
ROK	Rockwell Automation, Inc.	Blake Moret	9188851	9.1888510	56192	164
PSA	Public Storage	Ronald Havner	9182000	9.1820000	24909	369
WU	The Western Union Company	Hikmet Ersek	9175300	9.1753000	29942	306
VRSN	VeriSign, Inc.	D. Bidzos	9162786	9.1627860	189290	48
HOG	Harley-Davidson, Inc.	Matthew Levatich	9149692	9.1496920	74359	123
MXIM	Maxim Integrated Products, Inc.	Tunc Doluca	9143785	9.1437850	32372	282
RHI	Robert Half International Inc.	Harold Messmer Jr.	9132451	9.1324510	23905	382
WM	Waste Management, Inc.	James Fish	9125281	9.1252810	81096	113
SBAC	SBA Communications Corp.	Jeffrey Stoops	9101986	9.1019860	84778	107
RMD	ResMed Inc.	Michael Farrell	9082204	9.0822040	60725	150
KEY	KeyCorp	Beth Mooney	9064470	9.0644700	62853	144
CCI	Crown Castle International Corp.	Jay Brown	9025526	9.0255260	111866	81
ADSK	Autodesk, Inc.	Andrew Anagnost	9021758	9.0217580	117829	77
KMX	CarMax, Inc.	William Nash	8951547	8.9515470	38554	232
SEE	Sealed Air Corporation	Edward Doheny II	8934227	8.9342270	53068	168
NRG	NRG Energy, Inc.	Mauricio Gutierrez	8914948	8.9149480	115122	77
KSS	Kohl's Corporation	Kevin Mansell	8904852	8.9048520		
SNA	Snap-on Incorporated	Nicholas Pinchuk	8896358	8.8963580	53162	167
CNP	CenterPoint Energy, Inc.	Scott Prochazka	8887981	8.8879810	97572	91
AAP	Advance Auto Parts, Inc.	Thomas Greco	8856135	8.8561350	18460	480
HBI	Hanesbrands Inc.	Gerald Evans, Jr.	8832708	8.8327080	6348	1391
STI	SunTrust Banks, Inc.	William Rogers	8815914	8.8159140	67311	131
PWR	Quanta Services, Inc.	Earl Austin Jr.	8808204	8.8082040	87144	101
AME	AMETEK, Inc.	David Zapico	8762155	8.7621550	81314	108
AVY	Avery Dennison Corporation	Mitchell Butier	8709697	8.7096970	12523	695
FLS	Flowserve Corporation	R. Rowe	8702469	8.7024690	81830	106
CTAS	Cintas Corporation	Scott Farmer	8621245	8.6212450	52302	165
HCP	HCP, Inc.	Thomas Herzog	8619819	8.6198190	156921	55
